subject_code,section_code,mode,test_slug,question_id,prompt,choiceA,choiceB,choiceC,choiceD,choiceE,correct,explanation,difficulty,tags,image_url
APMACRO,NIPD,SECTION,,Q001,An American buys an entertainment system that was manufactured in China. How does the U.S. national income accounts treat this transaction?,Net exports and GDP both rise.,Net exports and GDP both fall.,Net exports and GDP go in opposite directions.,"Net exports fall, and there is no change in GDP.","There is no change in net exports, and GDP falls.",B,"B   GDP is the sum of consumption, investment, government spending, and net exports (in equation form: GDP = C + I + G + X). In this case, as the American is buying something made in China, net exports would fall, causing GDP to fall. The answer is (B).",,,
APMACRO,BEC,SECTION,,Q003,The Law of Demand states that,the quantity demanded of a product will fall when the price of the product falls.,the quantity demanded of a product will fall when the price of the product rises.,"when the demand for a product falls, so will its price.","when the demand for a product falls, its price will rise.",a product's price and the quantity demanded of that product are positively related.,B,(B),,,
APMACRO,BEC,SECTION,,Q004,Ceteris paribus,"is Greek for ""never changing.""",means anything can change at any time.,"is Latin for ""everything else remains constant.","means ""when in equilibrium.""","is Latin for ""holds true.""",C,(C),,,
APMACRO,BEC,SECTION,,Q005,GDP is calculated for each by,quarter; The Bureau of Economic Analysis,week; The Bureau of Economic Analysis,month; The Bureau of Economic Analysis,month; The Bureau of Labor Statistics,quarter; The Bureau of Labor Statistics,A,(A),,,
APMACRO,BEC,SECTION,,Q006,"""Flash"" estimates of GDP",are subject to revision.,do not require revision.,are available after a thirty-day lag.,both and (C),both and (C),D,(D),,,
APMACRO,NIPD,SECTION,,Q007,"According to the way in which economists use the word, the bulk of ""investment"" is done by",households.,businesses.,government.,foreigners.,all of the above.,B,(B),,,
APMACRO,LRCSP,SECTION,,Q008,"In the equation GDP = C + I + G + X, X stands for",exports.,expenditures.,exports minus imports.,imports minus exports.,export taxes.,C,(C),,,
APMACRO,LRCSP,SECTION,,Q009,GDP measures,production within a nation's borders.,production by a nation's citizens wherever they may be.,income earned by the factors of production plus depreciation and indirect business taxes.,and (C),and (C),E,(E),,,
APMACRO,NIPD,SECTION,,Q010,National income measures,household income in the nation.,income earned by the factors of production.,GDP minus depreciation and indirect business taxes.,the income earned by households and profits earned by firms after adjusting for depreciation and indirect business taxes.,"(B), (C), and (D).",E,(E),,,
APMACRO,BEC,SECTION,,Q011,"Imagine an economy that produces only two goods, cheese and crackers. Calculate GDP for this economy if cheese retails for $3 a pound and 10 pounds are produced while crackers sell for $2 a pound and 20 pounds are produced.",$35 ,"$1,200 ",$70 ,$150 ,Not enough information is given to calculate GDP.,C,(C),,,
APMACRO,BEC,SECTION,,Q012,"Assume Country Z only produces hot dogs and buns. Given the table below, what is the value of GDP in Country Z?",$1.50 ,$12.00 ,$6.00 ,$8.00 ,$4.50 ,C,(C),,,
APMACRO,NIPD,SECTION,,Q013,Which of the following would be classified under C when calculating GDP?,A homeowner mowing her own lawn,$50.00 spent eating out at a restaurant,The purchase of new computer software by an accounting firm,Flour purchased by a baker to make donuts,Donating old clothing to charitable causes,B,"B   C is the consumption that gets captured in the GDP calculation. Non-monetary transactions are not captured by the GDP, so eliminate (A) and (E). Goods purchased by a company for producing goods and services are not counted as consumed goods, so eliminate (C) and (D). Therefore the answer is (B).",,,
APMACRO,BEC,SECTION,,Q014,"If XYZ Corporation buys an original Matisse painting to hang in its board room, then",GDP decreases by the amount of the purchase because C decreases.,GDP increases by the amount of the purchase because I increases.,GDP is unaffected because it is a second hand sale.,GI)P decreases because I decreases.,"I increases, but C decreases.",C,(C),,,
APMACRO,BEC,SECTION,,Q015,The cabbages you grow in your summer garden are,counted in GDP under C.,counted in GDP under I.,counted in GDP but not NDP.,not counted in GDP.,counted in final sales but not GDP.,D,(D),,,
APMACRO,LRCSP,SECTION,,Q016,"Suppose transfer payments are greater than Social Security contributions, corporate taxes, and retained earnings combined. In that case,",NDP will be greater than GDP.,NI will be greater than GDP.,PI will be greater than NI.,DPI will be greater than PI.,PI will be greater than GDP.,C,(C),,,
APMACRO,BEC,SECTION,,Q017,GDP measures,Only I is correct.,Only II is correct.,Only III is correct.,Only I and II are correct.,"I, II and III are correct.",E,(E),,,
APMACRO,EIBC,SECTION,,Q018,Real GDP,is actual GDP as opposed to the estimate made by the BEA.,is also called current-dollar GDP.,is GDP adjusted for price changes.,is not calculated for the United States.,and are both correct.,C,(C),,,
APMACRO,BEC,SECTION,,Q019,Which of the following events has no effect on GDP?,You buy a 1957 Chevy from a friend.,The Department of Transportation repaves a road.,Your friends make a music CD that doesn't sell any copies.,A college buys computers.,You buy a bottle of French wine.,A,(A),,,
APMACRO,BEC,SECTION,,Q020,Which of the following will have an effect on GDP?,You lose $50 betting with a friend.,You fix your brother's car without buying any new parts.,Your father's firm makes computers and exports them to China.,"You buy 1,000 shares of stock in a corporation.",Your wealthy uncle buys a painting by Picasso.,C,(C),,,
APMACRO,EIBC,SECTION,,Q021,The CPI is calculated for each by,week; The Bureau of Economic Analysis,month; The Bureau of Economic Analysis,month; The Bureau of Labor Statistics,quarter; The Bureau of Economic Analysis,quarter; The Bureau of Labor Statistics,C,(C),,,
APMACRO,EIBC,SECTION,,Q022,"If the CPI goes to 150 from 120, then prices have",risen 20 percent.,risen 25 percent.,fallen 30 percent.,risen 30 percent.,risen 150 percent.,B,(B),,,
APMACRO,EIBC,SECTION,,Q023,"According to experts, the CPI",overstates increases in the cost of living.,understates increases in the cost of living.,accurately estimates changes in the cost of living.,could over- or underestimate changes depending on the season.,should be abandoned in favor of the GDP Deflator.,A,(A),,,
APMACRO,BEC,SECTION,,Q024,Which transactions will not be counted in GDP?,Pirated DVDs entering the nation illegally,The services of a physician,A retiree's social security benefits,A and C,B and C,D,"D   Transactions that do not include an exchange of goods or services (such as transfer payments), and transactions not reported to the government (such as off-the-book payments or illegal activities), are not counted in GDP. Therefore the answer is (D). Side note: Some countries are trying to estimate and include parallel market transactions in their GDP calculations!",,,
APMACRO,EIBC,SECTION,,Q025,When products improve in quality the CPI will,automatically increase.,automatically decrease.,become negative.,overestimate the inflation rate.,underestimate the inflation rate.,D,(D),,,
APMACRO,BEC,SECTION,,Q026,The GDP Deflator,Only I is true.,I and II are true.,I and III are true.,II and III are true.,"I, II, and III are true.",B,(B),,,
APMACRO,EIBC,SECTION,,Q027,"If nominal GDP equals $5,000 and real GDP equals $4,000, then the GDP Deflator equals",125,1.25,800,0.8,300,A,(A),,,
APMACRO,EIBC,SECTION,,Q028,"If nominal GDP equals $6,000 and the GDP deflator equals 200, then real GDP equals",$30 ,"$3,000 ","$12,000 ","$1,200 ","$1,200,000 ",B,(B),,,
APMACRO,BEC,SECTION,,Q029,Which of the following is NOT a major cost of inflation?,Resources will be misallocated.,Wealth will be redistributed.,Savings will be discouraged.,Real incomes will fall.,Financial wealth will be eroded.,D,(D),,,
APMACRO,BEC,SECTION,,Q030,"The term ""menu costs"" refers to",less choices due to inflation.,financial assets being worth less due to inflation.,a la carte savings falling.,food prices rising due to inflation.,resource misallocation due to inflation.,E,(E),,,
APMACRO,BEC,SECTION,,Q031,Inflation,encourages households to save more.,does not affect savings in the economy.,forces households to save more.,forces households to save less.,discourages savings.,E,(E),,,
APMACRO,BEC,SECTION,,Q032,Rising prices are a problem because,money in household savings accounts can now buy fewer goods and services.,household incomes generally do not rise with prices.,the economy could run out of money.,borrowers have to repay loans with more dollars.,households are encouraged to save more.,A,(A),,,
APMACRO,EIBC,SECTION,,Q033,Fisher's Hypothesis states that,the real interest equals the nominal interest rate plus the inflation rate.,the nominal interest rate equals the real interest rate minus the inflation rate.,the nominal interest rate equals the unemployment rate plus the real interest rate.,the nominal interest rate equals the unemployment rate minus the real interest rate.,the nominal interest rate equals the real interest rate plus the inflation rate.,E,(E),,,
APMACRO,EIBC,SECTION,,Q034,Sue loses her job at a shoe factory when the economy falls into a recession. Sue is,frictionally unemployed.,cyclically unemployed.,seasonally unemployed.,structurally unemployed.,a discouraged worker.,B,(B),,,
APMACRO,EIBC,SECTION,,Q035,"Operating in the intermediate range of the aggregate supply curve, an increase in aggregate demand results in an increase in",price level only,real GDP only,neither price level nor real GDP,nominal GDP only,price level and real GDP,E,"E   As aggregate demand rises, investment will increase to meet the increased demand. In the intermediate term, price levels will rise, as will GDP. Therefore the answer is (E).",,,
APMACRO,BEC,SECTION,,Q036,"There is a strong demand for welders in California but Bill, an unemployed welder, lives in New York. Bill is",frictionally unemployed.,cyclically unemployed.,structurally unemployed.,considered to be a hidden worker.,not counted in the ranks of the unemployed.,C,(C),,,
APMACRO,EIBC,SECTION,,Q037,It is unlikely that the unemployment rate will ever fall to zero because of,frictional unemployment.,cyclical unemployment.,government policies.,corporate policies.,the aged and infirm in our population.,A,(A),,,
APMACRO,EIBC,SECTION,,Q038,Business cycles,occur infrequently in capitalist economies.,refer to reusing resources in production.,are predictable ups and downs in economic activity.,are each comprised of a recession and an expansion.,are the same as depressions.,D,(D),,,
APMACRO,EIBC,SECTION,,Q039,Recessions,are a thing of the past.,are very severe depressions.,are marked by a sustained decline in output.,are regular occurrences in capitalist economies.,are typically accompanied by falling unemployment.,C,(C),,,
APMACRO,BEC,SECTION,,Q040,Say's Law,is the basis of Keynesian economic analysis.,is the basis of Classical economic analysis.,states that demand creates its own supply.,indicates that prices will be stable in capitalist economies.,was verified by the Great Depression.,B,(B),,,
APMACRO,BEC,SECTION,,Q041,Keynes,advanced Classical economic theory by making several refinements.,showed how Say's Law operated in capitalist economies.,was a great American economist.,explained the cause of and cure for the Great Depression.,advanced Classical economic theory by building on Say's Law.,D,(D),,,
APMACRO,NIPD,SECTION,,Q042,Which of the following would NOT shift the aggregate supply curve?,An increase in the price level.,A decrease in the amount of resources in the economy.,An increase in the amount of resources in the economy.,An increase in technology.,A decrease in productivity.,A,(A),,,
APMACRO,NIPD,SECTION,,Q043,Which of the following would shift the aggregate demand curve to the left?,An increase in consumer confidence.,Business firms expect lower sales in the future.,Foreigners develop a preference for our products.,Government increases its level of spending.,An increase in the money supply.,B,(B),,,
APMACRO,NIPD,SECTION,,Q044,Which of the following would NOT shift the aggregate demand curve?,A change in consumer confidence.,A change in technology.,A change in the money supply.,A change in spending by state governments.,A change in foreign tastes for our products.,B,(B),,,
APMACRO,NIPD,SECTION,,Q045,What will happen to the equilibrium price level and the equilibrium quantity of output if the aggregate demand curve shifts to the right? Assume an upward sloping aggregate supply curve.,The equilibrium price level increases while the equilibrium quantity of output decreases.,The equilibrium price level decreases while the equilibrium quantity of output increases.,The equilibrium price level and quantity of output increase.,The equilibrium price level and quantity of output decrease.,The equilibrium price level increases while the equilibrium quantity of output remains unchanged.,C,(C),,,
APMACRO,NIPD,SECTION,,Q046,"If the marginal propensity to consume is 0.8, what is the largest total increase in GDP that can result from $500 of new spending?",$400 ,$500 ,$625 ,"$2,500 ","$5,000 ",D,D   The largest increase in GDP = multiplier Ã $500. Multiplier = = 5. Therefore the maximum increase in GDP is 5 Ã $500 = $2500. Therefore the answer is (D).,,,
APMACRO,NIPD,SECTION,,Q047,What will happen to the equilibrium price level and the equilibrium quantity of output if consumer confidence increases? Assume an upward sloping aggregate supply curve.,The equilibrium price level increases while the equilibrium quantity of output decreases.,The equilibrium price level decreases while the equilibrium quantity of output increases.,The equilibrium price level and quantity of output increase.,The equilibrium price level and quantity of output decrease.,The equilibrium price level increases while the equilibrium quantity of output remains unchanged.,C,(C),,,
APMACRO,NIPD,SECTION,,Q048,What will happen to the equilibrium price level and the equilibrium quantity of output if the aggregate demand curve shifts to the right? Assume a Classical aggregate supply curve.,The equilibrium price level increases while the equilibrium quantity of output decreases.,The equilibrium price level decreases while the equilibrium quantity of output increases.,The equilibrium price level and quantity of output increase.,The equilibrium price level remains unchanged while the equilibrium quantity of output increases.,The equilibrium price level increases while the equilibrium quantity of output remains unchanged.,E,(E),,,
APMACRO,NIPD,SECTION,,Q049,What will happen to the equilibrium price level and the equilibrium quantity of output if the aggregate supply curve shifts to the left? Assume an upward sloping aggregate supply curve.,The equilibrium price level increases while the equilibrium quantity of output decreases.,The equilibrium price level decreases while the equilibrium quantity of output increases.,The equilibrium price level and quantity of output increase.,The equilibrium price level and quantity of output decrease.,The equilibrium price level increases while the equilibrium quantity of output remains unchanged.,A,(A),,,
APMACRO,NIPD,SECTION,,Q050,What will happen to the equilibrium price level and the equilibrium quantity of output if a major earthquake destroys much of the plant and equipment on the West Coast? Assume an upward sloping aggregate supply curve.,The equilibrium price level increases while the equilibrium quantity of output decreases.,The equilibrium price level decreases while the equilibrium quantity of output increases.,The equilibrium price level and quantity of output increase.,The equilibrium price level and quantity of output decrease.,The equilibrium price level increases while the equilibrium quantity of output remains unchanged.,A,(A),,,
APMACRO,NIPD,SECTION,,Q051,What will happen to the equilibrium price level and the equilibrium quantity of output if the aggregate supply curve shifts to the left? Assume a Classical aggregate supply curve.,The equilibrium price level increases while the equilibrium quantity of output decreases.,The equilibrium price level decreases while the equilibrium quantity of output increases.,The equilibrium price level and quantity of output increase.,The equilibrium price level remains unchanged while the equilibrium quantity of output increases.,The equilibrium price level increases while the equilibrium quantity of output remains unchanged.,A,(A),,,
APMACRO,LRCSP,SECTION,,Q052,Total spending,is all of the spending done by all of the households in a nation.,slopes downward because less spending occurs when prices rise.,slopes downward because less spending occurs when income falls.,slopes upward because more government spending occurs when income rises.,slopes upward because more household spending occurs when income rises.,E,(E),,,
APMACRO,BEC,SECTION,,Q053,At the break-even point,the expenses of corporations just equal their revenues.,household spending equals household income.,total spending equals income.,dissaving occurs and inventories are accumulating.,saving occurs and inventories are accumulating.,C,(C),,,
APMACRO,EIBC,SECTION,,Q054,Fiscal policy refers to,increases in taxes to fight recessions.,decreases in taxes to fight inflations.,changes in government spending and taxes to fight recessions or inflations.,federal deficits.,federal surpluses.,C,(C),,,
APMACRO,BEC,SECTION,,Q055,A federal deficit occurs when,exports exceed imports.,imports exceed exports.,federal tax collections exceed spending.,federal spending exceeds federal tax revenues.,the federal government spends less than last year.,D,(D),,,
APMACRO,EIBC,SECTION,,Q056,The appropriate fiscal policy to remedy a recession,calls for the federal government to run a deficit.,calls for the federal government to run a surplus.,is increased taxes and government spending.,is decreased government spending and taxes.,is increased taxes and reduced government spending.,A,(A),,,
APMACRO,NIPD,SECTION,,Q057,Stagflation occurs when,the price level rises for two consecutive quarters,the price level rises and output falls,the price level stays the same and output increases,the price level stays the same and output decreases,the price level and output both fall,B,B   Stagflation (also known as supply-side inflation) occurs when the cost of resources increases. This increase in cost of resources causes the aggregate supply curve to shift to the left (AS1 in the figure) causing prices to increase and GDP to fall. Therefore the answer is (B).,,,
APMACRO,LRCSP,SECTION,,Q058,The appropriate fiscal policy to remedy inflation calls for,the federal government to run a deficit.,the federal government to run a surplus.,increased taxes and government spending.,decreased government spending and taxes.,decreased taxes and increased government spending.,B,(B),,,
APMACRO,EIBC,SECTION,,Q059,To close a recessionary gap,the aggregate demand curve should be shifted to the right.,the aggregate demand curve should be shifted to the left.,the aggregate supply curve should be shifted to the right.,the aggregate supply curve should be shifted to the left.,prices should be raised.,A,(A),,,
APMACRO,EIBC,SECTION,,Q060,To close an expansionary gap,the aggregate demand curve should be shifted to the right.,the aggregate demand curve should be shifted to the left.,the aggregate supply curve should be shifted to the right.,the aggregate supply curve should be shifted to the left.,prices should be lowered.,B,(B),,,
